position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Hunter, R.J.",1.5,"$3,500",BOSTON CELTICS,@ den, 121-101,2:30,   0pt 1as 0-1fg
PG,"Rozier, Terry",0,"$3,500",BOSTON CELTICS,@ den, 121-101,2:30,   0pt 0-1fg
SG,"Snell, Tony",0,"$3,500",CHICAGO BULLS,v lal, 126-115,8:40,   0pt
PG,"McCallum, Ray",0,"$3,500",SAN ANTONIO SPURS,@ pho, 118-111,2:31,   0pt 0-1fg
SG,"Thornton, Marcus",0,"$3,500",DETROIT PISTONS,v nor, 106-111,DNP,   
SG,"Roberson, Andre",0,"$3,500",OKLAHOMA CITY THUNDER,v cle, 92-115,DNP,   0pt
PG,"Roberts, Brian",0,"$3,500",PORTLAND TRAIL BLAZERS,v uta, 115-111,DNP,   0pt
PG,"Williams, Maurice",0,"$3,500",CLEVELAND CAVALIERS,@ okc, 115-92,DNP,   0pt
SG,"Shumpert, Iman",0,"$3,600",CLEVELAND CAVALIERS,@ okc, 115-92,DNP,   0pt
SG,"Allen, Tony",0,"$4,100",MEMPHIS GRIZZLIES,@ tor, 85-98,DNP,   0pt
PG,"Gutierrez, Jorge",0,"$3,500",CHARLOTTE HORNETS,@ bkn, 104-96,DNP,   0pt
SG,"Connaughton, Pat",0,"$3,500",PORTLAND TRAIL BLAZERS,v uta, 115-111,DNP,   0pt
PG,"Huertas, Marcelo",0,"$3,500",LOS ANGELES LAKERS,@ chi, 115-126,DNP,   0pt
SG,"Marble, Devyn",0,"$3,500",ORLANDO MAGIC,v ind, 102-105,DNP,   0pt
PG,"Harrison, Aaron",0,"$3,500",CHARLOTTE HORNETS,@ bkn, 104-96,DNP,   0pt
SG,"Gordon, Eric",0,"$5,000",NEW ORLEANS PELICANS,@ det, 111-106,DNP,   0pt
SG,"Powell, Norman",0,"$3,500",TORONTO RAPTORS,v mem, 98-85,DNP,   0pt
PG,"Wright, Delon",0,"$3,500",TORONTO RAPTORS,v mem, 98-85,DNP,   0pt
SG,"Holiday, Justin",0,"$3,500",CHICAGO BULLS,v lal, 126-115,DNP,   0pt
SG,"Daniels, Troy",0,"$3,500",CHARLOTTE HORNETS,@ bkn, 104-96,DNP,   0pt
PG,"Knight, Brandon",0,"$6,500",PHOENIX SUNS,v sas, 111-118,DNP,   0pt
SG,"Ginobili, Manu",0,"$4,500",SAN ANTONIO SPURS,@ pho, 118-111,NA,   0pt
SG,"Stuckey, Rodney",0,"$4,200",INDIANA PACERS,@ orl, 105-102,NA,   0pt
SG,"Cunningham, Jared",0,"$3,500",ORLANDO MAGIC,v ind, 102-105,NA,   0pt
SG,"Jenkins, John",0,"$3,500",DALLAS MAVERICKS,v phi, 129-103,NA,   0pt
PG,"Dinwiddie, Spencer",0,"$3,500",DETROIT PISTONS,v nor, 106-111,NA,   0pt
SG,"Burks, Alec",0,"$4,800",UTAH JAZZ,@ por, 111-115,NA,   0pt
